,AirlineName,CabinType,DateFlown,DatePub,EntertainmentRating,FoodRating,GroundServiceRating,OriginCountry,OverallScore,Recommended,Review,SeatComfortRating,ServiceRating,Slug,Title,TravelType,TripVerified,ValueRating,WifiRating,unique_id,Aircraft Manufacturer,Route_Departure,Route_Destination,Review_score_nltk,Review_score_flair,Review_score
105641,Swoop,Economy Class,2023-12-31,2023-05-07,0,0,5,Canada,8.0,yes,"It all went smooth. The price was 1/3 of the major airlines. We added nothing extra. Our personal item, just a little smaller than a regular carry on was free and we were seated together. Easy boarding, they do tag carry on bags to ensure you paid the extra for them. We took two flights, a return journey, both left on time and arrived early. Staff was very nice. They did what they were supposed to take you on time to your destination as an economy air carrier.",4,5,swoop,Staff was very nice,Couple Leisure,Trip Verified,5,0,8d3f5ea6-8ac4-40d8-a2a5-e71a0c7b9ba9,Boeing,Victoria,Toronto,1,1,1
105648,Swoop,Economy Class,2023-12-31,2023-05-02,0,3,2,Canada,3.0,no,"Swoop is one of the most unreliable airlines out there. I am a travel agent and have sold WestJet vacations packages that include Swoop flights. Most of them were cancelled and no help offered to my clients. I am now sitting in Pearson airport with about 5 gate change emails then a 2 hour delay email. They offer you meal vouchers but you go to the swoop agents and they pass you off to someone else so not one swoop agent would actually produce these meal vouchers as per my email. I do not recommend anyone use this airline if you don’t want to deal with major delays and or cancellations. The only positive I have is the staff on board flights are amazing, funny and extremely friendly.",3,5,swoop,one of the most unreliable airlines out there,Family Leisure,Trip Verified,2,0,74920751-8549-4c53-8fc9-b1236b8f86d7,Bombardier,Toronto,Cancún,1,0,0
105649,Swoop,Economy Class,2023-12-31,2023-04-30,0,0,1,Canada,1.0,no,"We tried to fly out of Varadero, Cuba yesterday to Vancouver through Toronto but you had 6 hourly delays resulting in us having to sleep in their airport and not leaving until 10 hours later. Because of this we missed our connecting flight from Toronto to Vancouver. In Varadero, we had no food or water and my pregnant wife was forced to stay awake all night. We are absolutely disgusted, outraged, exhausted.",1,1,swoop,"disgusted, outraged, exhausted",Couple Leisure,Not Verified,1,0,e0367294-1d0d-44e1-af85-6f8cb41b365b,Boeing,Vardero,Vancouver via Toronto,0,0,0
105650,Swoop,Economy Class,2023-12-31,2023-04-27,0,0,4,Canada,3.0,no,"Swoop has the worst customer service. There absolutely no one to contact if you are having trouble signing into your Swoop account as you need to be signed in to your account to access customer service! Also, when you try to reset your password the temporary password always includes an o or a 0. So you have to try it several ways to figure out if it’s a number or a letter and the passcode is case sensitive so then you have to try lower case and upper case. In the end it just doesn’t work. I asked at the Swoop counter when checking in for our flight if there is a customer service number I can call for any assistance and I was told there is not. We fly to Florida often and have family across Canada. We will be using other airlines until Swoop can figure out their customer service issue.",2,4,swoop,Swoop has the worst customer service,Couple Leisure,Not Verified,2,0,84ccbde4-5b07-46ab-8017-0b2ffea165f9,Airbus,Hamilton,Clearwater,0,0,0
105651,Swoop,Economy Class,2023-12-31,2023-04-25,0,0,1,Canada,1.0,no,"I wish that I had paid attention to the bad reviews. We travel frequently, and this was our first experience flying with Swoop. I have flown with WestJet (WestJet owns Swoop, same company) and I always had positive travels with them. I will never fly with WestJet again, I will never fly Swoop, and I will never recommend this airline to anyone - professionally or personally. They bumped us, lied to us and refuse to acknowledge their responsibility for $400+ they owe us. The ‘discount’ airlines have lots of hidden fees and if, as in our case, things go terribly wrong Swoop will hide in legislative ‘loopholes’ and do everything except the right thing - which is pay what you owe to a passenger. We are 7 weeks post-trip now, and after multiple weeks of waiting, and multiple condescending correspondence’s, we remain without the money. I am shocked by poorly this has been handled. Avoid SWOOP, there’s so many better choices!",3,3,swoop,I am shocked by poorly this has been handled,Couple Leisure,Trip Verified,1,0,ddc82671-005f-48b2-8d74-e18bb9e667fe,Embraer,Toronto,Cuba,0,0,0
105652,Swoop,Economy Class,2023-12-31,2023-04-18,0,0,1,Canada,1.0,no,"Worst managed, organized, and most frustrating check-in service ever! We arrived at the Toronto airport 3 hours prior to our flight as required by the airline for international departures. We were on a direct flight heading to Las Vegas. We had a few people ahead of us and there were four reps at the check-in counters when we arrived. We waited in line for over 1 hour as the Swoop check-in reps called people heading to 3 other destinations, Montego, Halifax, Kalona, ahead of us as apparently their flights were on last calls. Why there weren't separate lines set up for these 4 flights, how could there be so many people, and all 3 flights where on last call was beyond everyone's understanding who were there on time for the Vegas flight. Instead people who decided it wasn't important to be at the airport on time for their flight where called ahead of those who followed the rules and to add insult to injury we had to wait longer in line because we followed the rules. To make it even better, it was at this point that the check-in reps decided it was time to leave and we were down to one rep for a significant amount of time while the line kept growing behind us. So what this tells us is that the airline has no consideration or respect for customers who comply with their regulations. Truthfully you're further ahead to not inconvenience yourself show up whenever you want, you'll be treated better. The final topper was when our luggage was finally checked-in we had to haul it all the way down to US customs at the other end of the airport. Nice! Thanks Swoop! FYI, we will never fly with Swoop again and don't recommend it either, unless of course you're one of those entitled stragglers that feels the world revolves around you, then Swoop is the perfect airline for you. They bend backwards to accommodate you. Wonder if there's enough of you to keep Swoop in business??!",1,3,swoop,we will never fly with Swoop again,Couple Leisure,Trip Verified,1,1,1fd18458-71cc-447a-8bbe-b6956a2276c9,Boeing,Toronto,Las Vegas,1,0,0
105659,Swoop,Economy Class,2023-12-31,2023-04-17,1,1,1,Canada,1.0,no,"Worst flight we've ever had! We (my senior citizen mother, my husband and I and our 5 year old daughter flew from Toronto to Las Vegas on April 3, 2023. We asked for seats together with our 5year old daughter but all of us were scattered. Worst was my daughter was put to Seat “20F” alone. Us adults were put at 30C/31C/31F. This is the most stupid thing we’ve ever seen.",1,1,swoop,Worst flight we've ever had,Family Leisure,Trip Verified,1,1,548e0aa9-2a9d-4bdf-9393-4a9a483d2c6c,Airbus,Toronto,Las Vegas,0,0,0
105660,Swoop,Economy Class,2023-12-31,2023-04-15,0,0,1,Canada,2.0,no,The flight was supposed to depart at 11:10 am but it delayed 3 times and finally departed at 1:46 pm. I wish to get some sort of compensation from the airline because such carelessness are not appreciated. This airline is meant to be cheap but honestly it was not as cheap either. A one way ticket from Edmonton to Abbotsford cost me 119 dollars. Whereas I have taken flights with other airlines before which could give me a round trip in less than that price. Extremely disappointed.,2,1,swoop,Extremely disappointed,Solo Leisure,Trip Verified,1,0,7456163a-341f-4365-ab45-f52425af8b15,Airbus,Edmonton,Abbotsford,0,0,0
105661,Swoop,Economy Class,2023-12-31,2023-04-11,0,0,4,Canada,10.0,yes,"I flew to Victoria on March 19th returning on April9th. The staff were wonderful. They met me with a smile, were professional and I got the impression that they enjoyed their job. It was a stress-free trip both ways and I really appreciated all their efforts. I will most definitely fly Swoop in the future.",4,4,swoop,The staff were wonderful,Solo Leisure,Not Verified,5,2,66f8d72a-7ca5-4160-bdc6-f6c8d7fba680,Boeing,Toronto,Victoria,1,1,1
105662,Swoop,Economy Class,2023-12-31,2023-04-05,0,0,2,Canada,1.0,no,"I am type 1 diabetic. An hour into my flight I had a very bad low that was crashing. I had eaten my own snack but that did not suffice. I asked an attendant if she could get me a glass of apple or orange juice and she proceeds to tell me most people carry their own snacks, I explained to her I did and it's still crashing, I just need sugar. She said she could get me water. I had to tell her again I need sugar not water. Eventually another attendant comes and gives me 4 squares of chocolate. I was never checked on or asked if I needed anything else.  I will never fly with Swoop again.",1,1,swoop,never fly with Swoop again,Solo Leisure,Trip Verified,1,0,1cbdf9ba-5a86-43c2-bee5-81d7fb5fa4cf,Boeing,Halifax,Toronto,0,0,0
